"hasAttachedProperty","hasCooling","hasGarage","hasHeating","hasSpa","hasView","stories","price","bathrooms","bedrooms","city","population","distanceToCoast","AvgIncomeCity","hasPool","furnished","additionalParcels","hasAssociation","hasCarport","hasFireplace","hasHomeWarranty","hasLandLease","isNewConstruction","LivingArea","Yearsold","schoolRating","homeType","homeRating"
0,1,1,1,1,1,2,885000,3,3,"Anaheim","346,824",15.2,88538,1,0,0,1,0,1,0,0,0,"1632","51","7",3,2
1,1,1,1,0,1,2,1060000,3,3,"Anaheim","346,824",15.2,88538,0,0,0,1,0,1,0,0,0,"2500","39","7",3,2
0,1,1,1,0,1,1,945000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1632","62","7",3,1
1,1,1,1,1,1,2,895000,3,3,"Anaheim","346,824",15.2,88538,1,0,0,1,0,1,0,0,0,"1611","30","7",1,2
0,0,0,1,0,0,1,806000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1820","62","7",3,1
0,0,1,1,0,1,1,919000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1000","70","7",3,2
0,0,0,0,0,0,1,1005000,1,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1146","70","7",3,2
1,1,1,0,0,1,1,1030000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1470","69","7",3,1
0,1,1,1,0,1,1,840000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1221","67","7",3,2
0,0,1,1,0,1,1,975000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1472","70","7",3,3
0,1,0,0,0,1,1,840000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1200","70","7",3,2
0,1,1,1,0,1,1,915000,2,4,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"1200","70","7",3,2
0,0,0,0,0,0,1,975000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1400","70","7",3,2
0,1,1,1,0,1,1,900000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1316","59","7",3,2
0,1,1,1,0,1,1,870000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1345","69","7",3,2
0,1,1,0,0,1,1,940000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1498","70","7",3,1
0,0,0,0,0,0,1,800000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1432","69","7",3,2
0,1,1,1,0,1,1,880000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1241","68","7",3,2
0,1,1,1,0,1,1,840000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1203","71","7",3,1
